iter	Logloss
0	0.6906088979
1	0.6881606718
2	0.6859147355
3	0.6836674798
4	0.6816875317
5	0.6796590404
6	0.6778181638
7	0.6761084819
8	0.6744208121
9	0.6728195627
10	0.6712267373
11	0.6697737646
12	0.6683504234
13	0.6669909907
14	0.6657162264
15	0.6645099467
16	0.6634318955
17	0.6623976625
18	0.6613761195
19	0.6604362486
20	0.659564448
21	0.6586705941
22	0.6578271187
23	0.6569769885
24	0.6562109449
25	0.6554633674
26	0.6547973092
27	0.6541082432
28	0.6534744951
29	0.6529173101
30	0.6523324091
31	0.6517615491
32	0.6512029105
33	0.6507211617
34	0.6502727179
35	0.6498985729
36	0.6494304144
37	0.6489803577
38	0.648596566
39	0.6482436776
40	0.6479161636
41	0.6475729711
42	0.6472244907
43	0.6469038451
44	0.6465669822
45	0.6462249635
46	0.64593709
47	0.6456190706
48	0.645345285
49	0.6451104605
50	0.6448565174
51	0.644641993
52	0.6444022745
53	0.6441806468
54	0.6439890632
55	0.6437675218
56	0.6435725554
57	0.6433962867
58	0.6432106146
59	0.6430628426
60	0.642909306
61	0.6427458309
62	0.6425905087
63	0.6424506953
64	0.6423129723
65	0.64213467
66	0.6419924947
67	0.6418435895
68	0.641694676
69	0.6415774939
70	0.641470826
71	0.64133394
72	0.6412005724
73	0.6410865704
74	0.6409558457
75	0.6408383
76	0.6407383439
77	0.6406256611
78	0.6405141662
79	0.6404154701
80	0.6403176906
81	0.6402354913
82	0.6401419822
83	0.640058186
84	0.6399524662
85	0.6398636154
86	0.6397799279
87	0.6396821015
88	0.6396070535
89	0.6395478399
90	0.639485306
91	0.6394051146
92	0.6393491464
93	0.6392862949
94	0.6392127981
95	0.6391542319
96	0.6390926231
97	0.6390300242
98	0.6389508035
99	0.6389009657
