iter	Passed	Remaining
0	107	10686
1	113	5560
2	120	3911
3	129	3109
4	138	2640
5	146	2302
6	153	2038
7	160	1848
8	167	1693
9	174	1574
10	180	1462
11	186	1365
12	192	1287
13	201	1236
14	206	1168
15	212	1113
16	217	1059
17	222	1014
18	228	973
19	232	931
20	237	892
21	242	861
22	247	828
23	251	797
24	257	773
25	262	746
26	266	720
27	272	700
28	277	678
29	281	656
30	286	638
31	291	619
32	295	600
33	300	584
34	305	567
35	310	551
36	315	537
37	320	522
38	325	508
39	330	495
40	334	482
41	339	468
42	344	456
43	349	445
44	354	432
45	358	421
46	363	410
47	368	399
48	373	388
49	378	378
50	383	368
51	388	359
52	394	349
53	398	339
54	403	329
55	408	321
56	413	312
57	418	302
58	423	294
59	429	286
60	433	277
61	439	269
62	444	261
63	450	253
64	456	245
65	460	237
66	465	229
67	470	221
68	475	213
69	480	205
70	485	198
71	490	190
72	494	182
73	499	175
74	504	168
75	508	160
76	514	153
77	519	146
78	524	139
79	529	132
80	534	125
81	538	118
82	543	111
83	548	104
84	553	97
85	558	90
86	563	84
87	567	77
88	572	70
89	578	64
90	583	57
91	588	51
92	594	44
93	598	38
94	604	31
95	609	25
96	614	18
97	619	12
98	624	6
99	628	0
