id,limit_bal,sex,education,marriage,age,default_payment_next_month,total_bill,total_pay,repayment_status
1,20000,2,2,1,24,1,7704,689,-2
2,120000,2,2,2,26,1,17077,5000,2
3,90000,2,2,2,34,0,101653,11018,0
4,50000,2,2,1,37,0,231334,8388,0
5,50000,1,2,1,57,0,109339,59049,0
6,50000,1,1,2,37,0,238114,7772,0
8,100000,2,2,2,23,0,13486,4791,-1
9,140000,2,3,1,28,0,65212,6761,0
10,20000,1,3,2,35,0,26919,14129,-1
11,200000,2,3,2,34,0,34467,6472,-1
12,260000,2,1,2,51,0,88369,66308,2
13,630000,2,2,2,41,0,41007,23370,-1
14,70000,1,2,2,30,1,338685,10700,2
15,250000,1,1,2,29,0,373591,18000,0
16,50000,2,3,3,23,0,196416,6200,0
17,20000,1,1,2,24,1,106161,6350,2
19,360000,2,1,1,49,0,0,0,-2
20,180000,2,1,2,29,0,0,0,-2
21,130000,2,3,2,39,0,123883,42231,-1
22,120000,2,2,1,39,1,1896,1580,-1
23,70000,2,2,2,26,1,265475,11010,2
25,90000,1,1,2,23,0,31864,16400,0
26,50000,1,3,2,23,0,214295,7891,0
27,60000,1,1,2,27,1,-394,2500,-1
28,50000,2,3,2,30,0,112268,7112,0
29,50000,2,3,1,47,0,40208,39567,-1
30,50000,1,1,2,26,0,97082,6600,0
31,230000,2,1,2,27,0,113746,97489,-1
32,50000,1,2,2,33,1,151869,6934,0
33,100000,1,1,2,32,0,495237,18744,0
36,160000,1,1,2,30,0,25312,2280,-1
37,280000,1,2,1,40,0,1069977,41923,0
38,60000,2,2,2,22,0,32279,53349,-1
39,50000,1,1,2,25,1,780,780,-2
40,280000,1,1,2,31,0,51643,37357,-1
42,70000,2,1,2,25,0,392856,19342,0
43,10000,1,2,2,22,0,22761,7227,0
44,140000,2,2,1,37,0,385134,20000,0
45,40000,2,1,2,30,0,147185,13000,0
46,210000,1,1,2,29,1,0,0,-2
47,20000,2,1,2,22,1,79328,20075,0
48,150000,2,5,2,46,1,9837,2183,-2
49,380000,1,2,2,32,0,114815,93332,-1
50,20000,1,1,2,24,0,115810,6246,0
51,70000,1,3,2,42,1,229012,8100,0
52,100000,2,3,3,43,0,265185,9606,0
53,310000,2,2,1,49,0,44125,30668,-2
54,180000,2,1,2,25,0,259151,10246,0
55,150000,2,1,2,29,0,176751,12867,0
56,500000,2,1,1,45,0,8388,6483,-2
57,180000,2,3,1,34,0,55404,29179,-1
58,180000,2,2,1,34,0,952362,34062,0
59,200000,2,1,2,34,0,6747,1900,2
61,500000,2,3,1,28,1,109699,8816,0
62,70000,1,2,1,39,0,244242,12120,-1
63,50000,1,1,2,29,1,157674,6125,2
64,50000,2,2,1,46,1,57884,1000,-2
65,130000,2,2,1,51,0,2452,2353,-1
67,10000,1,2,1,56,1,22852,3010,0
68,210000,2,1,2,30,0,8589,9198,-1
69,130000,2,3,2,29,0,7901,41379,-1
70,20000,1,5,2,22,0,88326,3700,0
71,80000,1,1,2,31,0,2340,1950,-1
73,200000,2,2,1,32,0,26425,19512,-1
74,290000,2,1,2,37,0,5514,5514,-1
76,20000,1,2,2,24,0,101328,5590,0
77,50000,1,3,2,25,0,145406,6358,0
78,300000,2,1,1,45,0,1746,1746,-1
79,30000,2,2,2,22,1,149186,8411,0
80,240000,2,2,2,44,1,0,0,-2
81,470000,2,3,3,33,0,614823,21926,0
82,360000,2,1,2,26,0,294903,161355,-1
83,60000,1,3,2,30,1,143566,5345,0
84,400000,2,2,1,44,0,700952,22753,0
85,50000,2,3,2,49,0,177499,6052,0
86,160000,1,2,2,33,0,667013,101747,0
87,360000,2,1,1,45,1,3510,2340,-1
88,160000,2,2,2,32,0,31623,8216,-1
89,130000,2,1,1,35,0,226534,56705,-1
90,20000,1,3,2,44,0,61309,6151,2
92,280000,2,1,2,39,0,15360,3968,-2
93,100000,2,1,2,27,0,3555,7555,-2
94,160000,2,2,1,37,0,4162,11018,-2
95,60000,2,2,2,23,0,197839,6261,0
96,90000,1,2,2,35,0,354716,11756,0
97,360000,1,1,1,43,0,58460,120613,0
98,150000,1,1,2,27,0,479411,23841,0
99,50000,2,3,1,22,0,83794,3783,0
100,20000,1,2,1,38,1,93217,5685,-1
101,140000,1,1,2,32,0,13679,13007,-2
102,380000,2,1,2,30,0,132602,42019,0
104,50000,2,3,2,22,1,205366,6870,0
105,60000,2,2,2,26,0,342038,13517,0
106,70000,2,2,2,24,0,32109,28529,-1
107,80000,2,2,1,36,0,17865,12794,-1
108,350000,1,1,2,52,0,10987,15285,-1
110,360000,1,2,1,35,0,-618,0,-2
111,330000,2,1,1,31,0,639580,32747,0
112,50000,1,3,1,47,0,93139,7000,0
114,100000,2,1,2,24,0,335186,17866,0
115,50000,1,2,2,41,0,119110,5471,0
116,30000,1,1,2,24,1,117660,6312,2
117,240000,1,1,2,28,0,7456,7656,-1
118,80000,1,2,2,26,1,99022,7700,0
119,400000,1,2,1,34,0,71828,57891,-1
120,240000,2,2,2,38,0,209703,11073,-1
122,450000,1,1,1,40,1,0,0,-2
123,110000,2,1,1,48,0,0,0,-2
125,20000,1,1,2,27,0,112100,4308,0
126,20000,1,2,2,23,0,0,0,-2
127,200000,1,3,2,52,0,617685,22056,0
128,180000,1,1,1,36,1,668882,14771,0
129,50000,1,2,1,51,1,30548,6200,0
130,60000,1,3,1,55,0,264125,7511,0
131,30000,2,1,2,23,0,32776,31886,-1
132,240000,1,1,2,41,0,11279,8944,-1
133,420000,1,2,1,34,0,1349911,53309,0
135,30000,2,2,2,22,0,123482,5460,0
136,240000,1,2,1,34,0,77708,4627,2
137,150000,1,1,2,27,0,140829,20000,0
138,210000,2,2,1,33,0,43256,7046,0
139,50000,2,3,1,51,1,6932,6180,-2
140,50000,1,1,2,24,0,208330,8960,0
141,240000,1,1,2,47,1,0,0,-2
142,180000,1,2,2,28,0,3828,5580,-1
143,50000,1,2,2,23,0,99487,13500,0
144,170000,1,2,2,29,0,67988,65846,-2
145,20000,1,1,2,29,0,26510,23641,-1
146,50000,1,1,2,28,0,48184,7183,3
147,170000,2,2,2,27,1,105012,3752,0
148,200000,1,1,2,34,0,794273,87000,0
149,80000,2,2,1,23,0,61950,4121,0
150,260000,2,1,1,60,0,21038,24469,-1
151,140000,1,2,1,32,0,411323,16267,0
152,80000,1,1,2,25,0,256528,63000,0
153,350000,1,1,2,41,0,4744,4536,-2
155,30000,2,3,2,26,0,70072,8700,0
156,140000,1,1,1,34,0,222980,35389,0
157,200000,2,1,2,37,0,575407,22560,0
158,200000,2,3,2,30,0,1018160,37788,0
160,50000,1,3,1,57,0,79884,3800,0
161,30000,1,1,2,41,0,162596,8150,0
162,50000,1,2,2,27,0,3396,2640,2
163,290000,1,3,1,47,0,3637,2376,-1
164,250000,2,1,1,34,0,918942,39850,0
165,60000,2,2,1,46,0,150304,10000,0
166,110000,2,1,2,27,0,539339,21100,0
